record_type,fips,name,parcel_count,stratmap_vintage,prop_id_bad_rate,join_key,cad_url,cad_verification,vendor,adversarial,risk_classes,cost_est_usd
county,48001,Anderson,43894,202507,0.0,prop_id,,unverified,,,,0.75
county,48003,Andrews,10523,202503,0.0029,prop_id,,unverified,,,,0.18
county,48005,Angelina,60693,202503,0.0125,prop_id,,unverified,,,,1.04
county,48007,Aransas,26690,202503,0.0368,prop_id,,unverified,,,,0.46
county,48009,Archer,9653,202508,0.0431,prop_id,,unverified,,,,0.17
county,48011,Armstrong,4058,202505,0.001,prop_id,,unverified,,,,0.07
county,48013,Atascosa,36796,202503,0.0017,prop_id,,unverified,,,,0.63
county,48015,Austin,22581,202503,0.0085,prop_id,,unverified,,,,0.39
county,48017,Bailey,6044,202503,0.0132,prop_id,,unverified,,,,0.1
county,48019,Bandera,33261,202503,0.0072,prop_id,,unverified,,,,0.57
county,48021,Bastrop,63357,202503,0.0022,prop_id,https://services.arcgis.com/aS4XD9PgZha28y8P/arcgis/rest/services/BastropCADWebService/FeatureServer,verified,bis-consultants,REPRODUCED,bis-field-template,1.08
county,48023,Baylor,6349,202503,0.0824,prop_id,,unverified,,,,0.11
county,48025,Bee,23864,202507,0.034,prop_id,,unverified,,,,0.41
county,48027,Bell,167441,202503,0.0105,prop_id,https://services7.arcgis.com/EHW2HuuyZNO7DZct/arcgis/rest/services/BellCADWebService/FeatureServer,verified,bis-consultants,,bis-field-template,2.87
county,48029,Bexar,709541,202507,0.0001,prop_id,https://maps.bexar.org/arcgis/rest/services/Parcels/MapServer,verified,unknown,,,12.14
county,48031,Blanco,14269,202503,0.0028,prop_id,,unverified,,,,0.24
county,48033,Borden,3752,202503,0.1994,prop_id,,unverified,,,,0.06
county,48035,Bosque,19975,202503,0.0121,prop_id,,unverified,,,,0.34
county,48037,Bowie,53213,202507,0.0,prop_id,,unverified,,,,0.91
county,48039,Brazoria,275131,202503,0.0881,prop_id,,unverified,,,,4.71
county,48041,Brazos,74666,202503,0.0014,prop_id,,unverified,,,,1.28
county,48043,Brewster,20287,202503,0.1156,prop_id,,unverified,,,,0.35
county,48045,Briscoe,4091,202505,0.1,prop_id,,unverified,,,,0.07
county,48047,Brooks,5739,202503,0.0718,prop_id,,unverified,,,,0.1
county,48049,Brown,31411,202503,0.0008,prop_id,,unverified,,,,0.54
