"propId","geoId","txgioGeomBytes","bcadPolyForPropId","bcadNonPolyForPropId","bcadPolySameGeoId","successorsCoveringFootprint","successorPropIds","classification"
"10031","R10031","444","0","0","0","0","","GONE_FROM_BCAD"
"10090","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"103397","R103397","396","0","0","0","0","","GONE_FROM_BCAD"
"103419","R103419","1510","0","0","0","0","","GONE_FROM_BCAD"
"10403","R10403","780","0","0","0","0","","GONE_FROM_BCAD"
"10454","R10454","684","0","0","0","0","","GONE_FROM_BCAD"
"105017","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"108520","R108520","444","0","0","0","0","","GONE_FROM_BCAD"
"108531","R108531","444","0","0","0","0","","GONE_FROM_BCAD"
"109995","R109995","300","0","0","0","0","","GONE_FROM_BCAD"
"110701","R110701","2800","0","0","0","0","","GONE_FROM_BCAD"
"111280","R111280","396","0","0","0","0","","GONE_FROM_BCAD"
"11169","R11169","492","0","0","0","0","","GONE_FROM_BCAD"
"112077","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"112386","R112386","444","0","0","0","0","","GONE_FROM_BCAD"
"114993","","252","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"114994","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"115215","","732","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"115226","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"115227","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"11549","R11549","300","0","0","0","1","8733158","SUCCESSOR_POLYGON_OTHER_ID_COVERS_FOOTPRINT"
"116984","","444","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"11728","","540","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"11894","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"11905","R11905","648","0","0","0","0","","GONE_FROM_BCAD"
"119349","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"119362","","492","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"121119","","396","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"121120","","972","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"12117","R12117","1076","0","0","0","0","","GONE_FROM_BCAD"
"122393","","252","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"123104","","883","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"124561","","636","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
