rail_key,verdict,unaccounted_count,evaluated_at,run_id
acreageAcres,pass,0,2026-09-19 04:21:33.848+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
acreageMethod,pass,0,2026-09-19 04:21:55.183+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
acreageSqft,refuse,350,2026-09-19 04:21:44.504+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
agValuation,pass,0,2026-09-19 04:28:12.664+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
apn,pass,0,2026-09-19 04:19:42.233+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
assessedValue,pass,0,2026-09-19 04:22:25.147+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
buildableAreaPct,excluded-no-acquisition-path,0,2026-09-19 04:25:19.599+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
buildableAreaSqFt,excluded-no-acquisition-path,0,2026-09-19 04:25:12.303+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
buildingFootprint,pass,0,2026-09-19 04:27:10.552+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
citationUrl,pass,0,2026-09-19 04:25:53.053+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
cityLimits,pass,0,2026-09-19 04:23:34.14+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
countyFips,pass,0,2026-09-19 04:23:24.091+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
easements,excluded-no-acquisition-path,0,2026-09-19 04:27:03.983+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
edgeSignal,excluded-no-acquisition-path,0,2026-09-19 04:26:09.855+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
envelopeDisclosure,excluded-no-acquisition-path,0,2026-09-19 04:26:01.215+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
envelopeStatus,excluded-no-acquisition-path,0,2026-09-19 04:24:22.669+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
etjStatus,excluded-mid-cutover,0,2026-09-19 04:23:43.203+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
exemptionCodes,pass,0,2026-09-19 04:23:14.66+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
flood,pass,0,2026-09-19 04:27:24.397+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
hoaDeedRestrictions,excluded-no-acquisition-path,0,2026-09-19 04:28:29.056+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
improvementValue,pass,0,2026-09-19 04:22:44.237+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
landUseCode,pass,0,2026-09-19 04:20:40.078+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
landUseDescription,excluded-mid-cutover,0,2026-09-19 04:21:01.918+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
landUseSource,refuse,350,2026-09-19 04:21:11.908+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
landUseVintage,refuse,82,2026-09-19 04:21:22.866+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
landValue,pass,0,2026-09-19 04:22:35.212+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
legalDescription,pass,0,2026-09-19 04:23:04.608+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
livingAreaSqft,pass,0,2026-09-19 04:22:54.424+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
marketValue,pass,0,2026-09-19 04:22:15.103+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
maxFootprintSqFt,pass,0,2026-09-19 04:25:44.306+00,a885ec9b-37f6-4b04-a2d8-154123ef6065
