rail_key,kind,corpus,n
setbackCornerFt,not-applicable,above-pin,14401
setbackCornerFt,refused,above-pin,743
setbackCornerFt,unaccounted,above-pin,951
setbackCornerFt,value,at-pin,8893
setbackFrontFt,not-applicable,above-pin,14401
setbackFrontFt,refused,above-pin,743
setbackFrontFt,unaccounted,above-pin,951
setbackFrontFt,value,at-pin,8893
setbackRearFt,not-applicable,above-pin,14401
setbackRearFt,refused,above-pin,743
setbackRearFt,unaccounted,above-pin,951
setbackRearFt,value,at-pin,8893
setbackRules,not-applicable,above-pin,14401
setbackRules,refused,above-pin,743
setbackRules,unaccounted,above-pin,951
setbackRules,value,at-pin,8893
setbackSideFt,not-applicable,above-pin,14401
setbackSideFt,refused,above-pin,743
setbackSideFt,unaccounted,above-pin,951
setbackSideFt,value,at-pin,8893
