rail_key,kind,corpus,n
setbackCornerFt,not-applicable,no-source,33478
setbackCornerFt,refused,no-source,21377
setbackCornerFt,unaccounted,no-source,8610
setbackCornerFt,value,at-pin,13276
setbackCornerFt,value,below-pin,37513
setbackFrontFt,not-applicable,no-source,33478
setbackFrontFt,refused,no-source,21377
setbackFrontFt,unaccounted,no-source,8610
setbackFrontFt,value,at-pin,13276
setbackFrontFt,value,below-pin,37513
setbackRearFt,not-applicable,no-source,33478
setbackRearFt,refused,no-source,21377
setbackRearFt,unaccounted,no-source,8610
setbackRearFt,value,at-pin,13276
setbackRearFt,value,below-pin,37513
setbackRules,not-applicable,no-source,33478
setbackRules,refused,no-source,21377
setbackRules,unaccounted,no-source,8610
setbackRules,value,at-pin,13276
setbackRules,value,below-pin,37513
setbackSideFt,not-applicable,no-source,33478
setbackSideFt,refused,no-source,21377
setbackSideFt,unaccounted,no-source,8610
setbackSideFt,value,at-pin,13276
setbackSideFt,value,below-pin,37513
