fips,county_name,in_stratmap,vintage_yyyymm,feature_count,prop_id_bad_rate,flags,download_url
48001,Anderson,True,202507,43894,0.0,STALE,https://data.geographic.texas.gov/0fa04328-872e-481c-b453-126a74777593/resources/stratmap25-landparcels_48001_lp.zip
48003,Andrews,True,202503,10523,0.0029,STALE,https://data.geographic.texas.gov/0fa04328-872e-481c-b453-126a74777593/resources/stratmap25-landparcels_48003_lp.zip
48005,Angelina,True,202503,60693,0.0125,STALE,https://data.geographic.texas.gov/0fa04328-872e-481c-b453-126a74777593/resources/stratmap25-landparcels_48005_lp.zip
48007,Aransas,True,202503,26690,0.0368,STALE,https://data.geographic.texas.gov/0fa04328-872e-481c-b453-126a74777593/resources/stratmap25-landparcels_48007_lp.zip
48009,Archer,True,202508,9653,0.0431,STALE,https://data.geographic.texas.gov/0fa04328-872e-481c-b453-126a74777593/resources/stratmap25-landparcels_48009_lp.zip
48011,Armstrong,True,202505,4058,0.001,STALE,https://data.geographic.texas.gov/0fa04328-872e-481c-b453-126a74777593/resources/stratmap25-landparcels_48011_lp.zip
48013,Atascosa,True,202503,36796,0.0017,STALE,https://data.geographic.texas.gov/0fa04328-872e-481c-b453-126a74777593/resources/stratmap25-landparcels_48013_lp.zip
48015,Austin,True,202503,22581,0.0085,STALE,https://data.geographic.texas.gov/0fa04328-872e-481c-b453-126a74777593/resources/stratmap25-landparcels_48015_lp.zip
48017,Bailey,True,202503,6044,0.0132,STALE,https://data.geographic.texas.gov/0fa04328-872e-481c-b453-126a74777593/resources/stratmap25-landparcels_48017_lp.zip
48019,Bandera,True,202503,33261,0.0072,STALE,https://data.geographic.texas.gov/0fa04328-872e-481c-b453-126a74777593/resources/stratmap25-landparcels_48019_lp.zip
48021,Bastrop,True,202503,63357,0.0022,STALE,https://data.geographic.texas.gov/0fa04328-872e-481c-b453-126a74777593/resources/stratmap25-landparcels_48021_lp.zip
48023,Baylor,True,202503,6349,0.0824,STALE,https://data.geographic.texas.gov/0fa04328-872e-481c-b453-126a74777593/resources/stratmap25-landparcels_48023_lp.zip
48025,Bee,True,202507,23864,0.034,STALE,https://data.geographic.texas.gov/0fa04328-872e-481c-b453-126a74777593/resources/stratmap25-landparcels_48025_lp.zip
48027,Bell,True,202503,167441,0.0105,STALE,https://data.geographic.texas.gov/0fa04328-872e-481c-b453-126a74777593/resources/stratmap25-landparcels_48027_lp.zip
48029,Bexar,True,202507,709541,0.0001,STALE,https://data.geographic.texas.gov/0fa04328-872e-481c-b453-126a74777593/resources/stratmap25-landparcels_48029_lp.zip
48031,Blanco,True,202503,14269,0.0028,STALE,https://data.geographic.texas.gov/0fa04328-872e-481c-b453-126a74777593/resources/stratmap25-landparcels_48031_lp.zip
48033,Borden,True,202503,3752,0.1994,STALE,https://data.geographic.texas.gov/0fa04328-872e-481c-b453-126a74777593/resources/stratmap25-landparcels_48033_lp.zip
48035,Bosque,True,202503,19975,0.0121,STALE,https://data.geographic.texas.gov/0fa04328-872e-481c-b453-126a74777593/resources/stratmap25-landparcels_48035_lp.zip
48037,Bowie,True,202507,53213,0.0,STALE,https://data.geographic.texas.gov/0fa04328-872e-481c-b453-126a74777593/resources/stratmap25-landparcels_48037_lp.zip
